ERNv,Host,HighTaxon,LowTaxon,Virus,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,CreationDate,ModificationDate,ProvinceA,PathogenValue
262,Potanthus flavum,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
263,Thymelicus lineola,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
264,Cosmotriche potatoria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
265,Dendrolimus pini,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
266,Dendrolimus pini,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
267,Dendrolimus punctatus,RNA virus,Reoviridae,CPV,,,Field,China,,1/8/2096,2/12/2099,,
268,Dendrolimus spectabilis,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
269,Dendrolimus spectabilis,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
270,Dendrolimus superans,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
271,Dendrolimus undans,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
272,Dendrolimus undans,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
273,Dendrolimus undans flaveola,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
274,Dendrolimus yamadai,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
275,Dendrolimus yamadai,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
276,Eriogaster lanestris,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
277,Gastropacha quercifolia,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
278,Gastropacha quercifolia cerridifolia,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
279,Gastropacha quercifolia cerridifolia,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
280,Gastropacha quercifolia cerridifolia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
281,Gastropacha rufibrunnea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
282,Gonometa rufibrunnea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
283,Lasiocampa quercus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
284,Lasiocampa quercus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
285,Lasiocampa trifolii,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
286,Macrothylacia rubi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
1352,Malacosoma alpicola,DNA virus,Baculoviridae,NPV,Larva,"mesoderm, ectoderm",,,,1/8/2096,2/12/2099,,
287,Malacosoma americanum,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
288,Malacosoma americanum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
289,Malacosoma californicum,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
290,Malacosoma constrictum,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
291,Malacosoma disstria,DNA virus,Baculoviridae,NPV,,,Field,"Canada, China",,1/8/2096,2/12/2099,"NB, AB",Insignificant control agent
1353,Malacosoma californicum fragile,DNA virus,Baculoviridae,NPV,Larva,,Field,USA,,1/8/2096,2/12/2099,,
292,Malacosoma californicum lutescens,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
293,Malacosoma disstria testacea,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
294,Malacosoma disstria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
295,Malacosoma disstria testacea,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
296,Malacosoma californicum pluviale,DNA virus,Baculoviridae,NPV,,,Field,Canada,,1/8/2096,2/12/2099,BC,Useful control agent
297,Pachypasa otus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
298,Selenephera lunigera,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
299,Apoda dentatus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
300,Microleon longipalpis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
301,Parasa consocia,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
302,Sibine apicalis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
303,Lycaena phlaeas,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
304,Lycaena phlaeas,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
305,Calliteara abietis,DNA virus,Baculoviridae,NPV,,,Field,China,,1/8/2096,2/12/2099,,
306,Dasychira basiflava,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
307,Dasychira confusa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
308,Dasychira mendosa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
309,Dasychira pseudobietis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
310,Dasychira pseudobietis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
311,Calliteara pudibunda,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
312,Calliteara pudibunda,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
313,Euproctis chrysorrhoea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
314,Euproctis chrysorrhoea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
315,Euproctis flava,DNA virus,Baculoviridae,NPV,,,Field,China,,1/8/2096,2/12/2099,,
316,Euproctis flava,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
317,Euproctis pseudoconspersa,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
318,Euproctis pseudoconspersa,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
319,Euproctis similis,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
320,Euproctis similis,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
321,Euproctis similis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
322,Euproctis subflava,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
323,Ivela auripes,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
324,Leucoma salicis,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
325,Leucoma salicis,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
326,Lymantria dispar,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
327,Lymantria dispar,DNA virus,Baculoviridae,Lymantria dispar NPV  (LdMNPV),,,Field,"Japan, China, Romania, Russia, Portugal, Czechoslovakia, Canada",,1/8/2096,2/12/2099,"NB, QC, ON",Useful control agent
328,Lymantria dispar,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
329,Lymantria dispar japonica,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
330,Lymantria fumida fumida,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
331,Lymantria fumida fumida,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
332,Lymantria incerta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
333,Lymantria mathura aurora,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
334,Lymantria mathura aurora,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
335,Lymantria monacha,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
336,Lymantria monacha,DNA virus,Baculoviridae,Lymantria monacha NPV  (LmMNPV),,,Field,Japan,,1/8/2096,2/12/2099,,
337,Lymantria obfuscata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
338,Orgyia anartoides,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
339,Orgyia antiqua,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
340,Orgyia antiqua,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
341,Orgyia australis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
342,Orgyia antiqua badia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
343,Orgyia gonostigma,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
344,Orgyia leucostigma,DNA virus,Baculoviridae,Orgyia pseudotsugata NPV  (OpMNPV),,,,,,1/8/2096,2/12/2099,"NF, NS",Useful control agent
345,Orgyia leucostigma,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
346,Orgyia pseudotsugata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
1354,Orgyia turbata,DNA virus,Baculoviridae,NPV,Larva,,Field,Thailand,,1/8/2096,2/12/2099,,
347,Orgyia vetusta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
348,Bucculatrix thurberiella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
349,Acronicta americana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
350,Actebia fennica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
351,Eudocima tyrannus  ,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
352,Aedia leucomelas,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
353,Agrochola helvola,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
354,Agrochola lychnidis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,12/28/2000,,
355,Agrotis exclamationis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
356,Agrotis ipsilon,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
357,Agrotis segetum,DNA virus,Baculoviridae,Agrotis segetum NPV  (AsMNPV),,,Field,Japan,,1/8/2096,2/12/2099,,
358,Agrotis segetum,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
359,Alabama argillacea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
360,Aletia oxygala luteopallens,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
361,Alabama argillacea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
362,Anadevidia peponis,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
363,Anadevidia peponis,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
364,Anagrapha falcifera,DNA virus,Baculoviridae,NPV ,,,,USA,,1/8/2096,2/12/2099,,
365,Anomis flava,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
366,Xestia ilimata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
1355,Anticarsia gemmatalis,DNA virus,Baculoviridae,Anticarsia gemmatalis NPV  (AgMNPV),Larva,,Field,"USA/Florida, Brazil",,1/8/2096,2/12/2099,,
367,Antitype xanthomista,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
368,Acronicta major,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
369,Aporophyla lutulenta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
370,Arcte coerulea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
371,Arcte coerulea,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
372,Argyrogramma basigera,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
373,Autographa biloba,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
374,Autographa bimaculata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
375,Autographa californica,DNA virus,Baculoviridae,Autographa californica NPV (AcMNPV),,,,USA,,1/8/2096,12/13/2000,,
376,Autographa californica,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
377,Autographa gamma,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
378,Autographa gamma,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
379,Autographa nigrisigna,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
380,Autographa precationis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
381,Axylia putris,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
382,Bellura gortynoides,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
383,Calophasia lunula,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
384,Calophasia lunula,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
385,Catabena esula,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
386,Catocala conjucta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
387,Catocala nymphaea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
388,Catocala nymphagoga,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
389,Melanchra picta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
390,Melanchra picta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
391,Cerapteryx graminis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
392,Chrysodeixis chalcites,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
393,Chrysodeixis eriosoma,DNA virus,Baculoviridae,NPV,,,,New Zealand,,1/8/2096,2/12/2099,,
394,Diachrysia orichalcea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
395,Dicycla oo,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
396,Diparopsis watersi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
397,Discestra trifolii,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
398,Discestra trifolii,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
399,Dryobota furva,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
400,Dryobota protea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
401,Dryobotodes monochroma,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
402,Eupsilia sp.,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
403,Euxoa auxiliaris,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
404,Euxoa messoria,DNA virus,Baculoviridae,Euxoa messoria NPV  (EmMNPV),,,,,,1/8/2096,2/12/2099,,
405,Euxoa messoria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
406,Euxoa ochrogaster,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
407,Euxoa ochrogaster,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
408,Euxoa scandens,RNA virus,Reoviridae,CPV,,,Field,Canada,,1/8/2096,2/12/2099,QC,Insignificant control agent
409,Hada nana,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
410,Hadena serena,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
411,Hadena sordida,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
412,Heliophobus albicolon,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
413,Helicoverpa armigera,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
414,Helicoverpa armigera,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China, New Zealand",,1/8/2096,2/12/2099,,
415,Helicoverpa assulta,DNA virus,Baculoviridae,NPV,,,Field,China,,1/8/2096,2/12/2099,,
416,Helicoverpa obtectus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
417,Heliothis peltigera,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
418,Helicoverpa phloxiphaga,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
419,Helicoverpa punctigera,DNA virus,Baculoviridae,Heliothis punctigera NPV  (HpMNPV),,,,,,1/8/2096,2/12/2099,,
420,Heliothis subflexa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
421,Heliothis virescens,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
422,Heliothis virescens,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
423,Helicoverpa zea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
424,Helicoverpa zea,DNA virus,Baculoviridae,Heliothis zea NPV (HzSNPV),,,,USA,,1/8/2096,12/13/2000,,
1356,Helicoverpa zea,DNA virus,Iridoviridae,Helicoverpa zea IV,Larva,"Fat body, silk glands, muscles",Field,USA,,1/8/2096,2/12/2099,,
425,Hydrillodes morosa,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
426,Lacanobia oleracea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
427,Lampra fimbriata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
428,Lithophane leautieri,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
429,Mamestra brassicae,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
430,Mamestra brassicae,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
431,Mamestra brassicae,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
432,Mamestra configurata,DNA virus,Baculoviridae,Mamestra configurata NPV,,,Field,Canada,,1/8/2096,2/12/2099,"MB, SK, AB",Useful control agent
433,Mormo maura,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
434,Mocis undata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
435,Moma champa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
436,Mythimna convecta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
437,Mythimna unipuncta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
438,Mythimna unipuncta,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
439,Nephelodes minians,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
440,Noctua pronuba,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
441,Oraesia emarginata,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
442,Oraesia emarginata,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
443,Oraesia excavata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
444,Orthosia incerta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
445,Panolis flammea,DNA virus,Baculoviridae,Panolis flammea NPV  (PfMNPV),,,,,,1/8/2096,2/12/2099,,
446,Panthea portlandia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
447,Paradiarsia glareosa,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
448,Peridroma saucia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
449,Phlogophora meticulosa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
450,Phlogophora meticulosa,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
451,Plusia argentifera,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
452,Diachrysia balluca,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
453,Spodoptera litosia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
454,Spodoptera terricola,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
455,Pseudoplusia includens,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
456,Rachiplusia nu,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
457,Rachiplusia ou,DNA virus,Baculoviridae,Rachiplusia ou NPV  (RoMNPV),,,,,,1/8/2096,2/12/2099,,
458,Scoliopteryx libatrix,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
459,Scoliopteryx libatrix,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
460,Spodoptera exempta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
461,Spodoptera exempta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
462,Spodoptera exigua,DNA virus,Baculoviridae,NPV,,,Field,"Japan, Thailand, China",,1/8/2096,2/12/2099,,
463,Spodoptera exigua,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
464,Spodoptera frugiperda,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
465,Spodoptera frugiperda,DNA virus,Baculoviridae,Spodoptera frugiperda NPV  (SfMNPV),,,,,,1/8/2096,2/12/2099,,
466,Spodoptera littoralis,DNA virus,Baculoviridae,Spodoptera littoralis NPV  (SlMNPV),,,,,,1/8/2096,2/12/2099,,
467,Spodoptera litura,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
468,Spodoptera litura,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
469,Spodoptera litura,DNA virus,Baculoviridae,NPV,,,Field,"Japan, New Zealand",,1/8/2096,2/12/2099,,
470,Spodoptera mauritia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
471,Spodoptera mauritia acronyctoides,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
472,Spodoptera ornithogalli,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
473,Spodoptera praefica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
474,Spodoptera sp.,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
475,Syngrapha selecta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
476,Tiracola plagiata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
477,Trichoplusia ni,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
478,Trichoplusia ni,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
479,Trichoplusia ni,DNA virus,Baculoviridae,Trichoplusia ni NPV,,,Field,"Japan, Canada",,1/8/2096,2/12/2099,ON,Useful control agent
480,Xestia c-nigrum,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
481,Xestia c-nigrum,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
482,Xylena curvimacula,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
483,Xylomyges conspicillaris,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
484,Cerura hermelina,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
485,Cerura vinula,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
486,Ptilodon capucina,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
487,Nadata gibbosa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
488,Phalera bucephala,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
489,Phalera bucephala,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
490,Schizura concinna,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
491,Semidonta biloba,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
492,Aglais urticae,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
493,Aglais urticae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
494,Agraulis vanillae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
495,Araschnia levana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
496,Argynnis paphia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
497,Argyreus hyperbius,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
498,Asterocampa celtis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
499,Boloria dia,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
500,Hestina japonica,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
501,Inachis io,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
502,Inachis io,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
503,Inachis io,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
504,Junonia coenia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
505,Melitaea didyma,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
506,Nymphalis antiopa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
507,Nymphalis antiopa,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
508,Nymphalis polychloros,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
509,Polygonia c-album,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
510,Polygonia c-album,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
511,Polygonia satyrus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
512,Vanessa atalanta,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
513,Vanessa prorsa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
514,Cryptophlebia leucotreta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
